"","activityLabel","variable","mean"
"67","SITTING","tBodyAcc.mean...X",0.273448998825428
"68","SITTING","tBodyAcc.mean...Y",-0.0121426088459798
"69","SITTING","tBodyAcc.mean...Z",-0.106580744993313
"70","SITTING","tBodyAcc.std...X",-0.983449562153966
"71","SITTING","tBodyAcc.std...Y",-0.936208179940381
"72","SITTING","tBodyAcc.std...Z",-0.939274193888803
"73","SITTING","tGravityAcc.mean...X",0.870899899300156
"74","SITTING","tGravityAcc.mean...Y",0.122785136286184
"75","SITTING","tGravityAcc.mean...Z",0.162123894662294
"76","SITTING","tGravityAcc.std...X",-0.979064977083981
"77","SITTING","tGravityAcc.std...Y",-0.957651371119751
"78","SITTING","tGravityAcc.std...Z",-0.947177473594868
"79","SITTING","tBodyAccJerk.mean...X",0.0757738529781182
"80","SITTING","tBodyAccJerk.mean...Y",0.00497487103109658
"81","SITTING","tBodyAccJerk.mean...Z",-0.00186788827412442
"82","SITTING","tBodyAccJerk.std...X",-0.985544794618974
"83","SITTING","tBodyAccJerk.std...Y",-0.974649826034215
"84","SITTING","tBodyAccJerk.std...Z",-0.982526224152411
"85","SITTING","tBodyGyro.mean...X",-0.0378305948293904
"86","SITTING","tBodyGyro.mean...Y",-0.0728027807545334
"87","SITTING","tBodyGyro.mean...Z",0.0784742074521695
"88","SITTING","tBodyGyro.std...X",-0.981262834082426
"89","SITTING","tBodyGyro.std...Y",-0.966305793009331
"90","SITTING","tBodyGyro.std...Z",-0.958891866041991
"91","SITTING","tBodyGyroJerk.mean...X",-0.0959456649824261
"92","SITTING","tBodyGyroJerk.mean...Y",-0.0405964730900187
"93","SITTING","tBodyGyroJerk.mean...Z",-0.0513023722602862
"94","SITTING","tBodyGyroJerk.std...X",-0.98658476348367
"95","SITTING","tBodyGyroJerk.std...Y",-0.986654023623639
"96","SITTING","tBodyGyroJerk.std...Z",-0.984164647052877
"97","SITTING","tBodyAccMag.mean..",-0.955067543234837
"98","SITTING","tBodyAccMag.std..",-0.939365758525816
"99","SITTING","tGravityAccMag.mean..",-0.955067543234837
"100","SITTING","tGravityAccMag.std..",-0.939365758525816
"101","SITTING","tBodyAccJerkMag.mean..",-0.982966618413686
"102","SITTING","tBodyAccJerkMag.std..",-0.9794403344479
"103","SITTING","tBodyGyroMag.mean..",-0.94742138466563
"104","SITTING","tBodyGyroMag.std..",-0.950857575620529
"105","SITTING","tBodyGyroJerkMag.mean..",-0.988248275785381
"106","SITTING","tBodyGyroJerkMag.std..",-0.984886442970451
"107","SITTING","fBodyAcc.mean...X",-0.983235173297045
"108","SITTING","fBodyAcc.mean...Y",-0.948783229545879
"109","SITTING","fBodyAcc.mean...Z",-0.957480579844479
"110","SITTING","fBodyAcc.std...X",-0.983675290902022
"111","SITTING","fBodyAcc.std...Y",-0.933948759256143
"112","SITTING","fBodyAcc.std...Z",-0.934534156082426
"113","SITTING","fBodyAccJerk.mean...X",-0.985698027869362
"114","SITTING","fBodyAccJerk.mean...Y",-0.974807063335925
"115","SITTING","fBodyAccJerk.mean...Z",-0.979854031073095
"116","SITTING","fBodyAccJerk.std...X",-0.986724182511664
"117","SITTING","fBodyAccJerk.std...Y",-0.976387838265941
"118","SITTING","fBodyAccJerk.std...Z",-0.983830467869362
"119","SITTING","fBodyGyro.mean...X",-0.977875242783826
"120","SITTING","fBodyGyro.mean...Y",-0.972183939828927
"121","SITTING","fBodyGyro.mean...Z",-0.961503434618974
"122","SITTING","fBodyGyro.std...X",-0.98248034318818
"123","SITTING","fBodyGyro.std...Y",-0.963557481329705
"124","SITTING","fBodyGyro.std...Z",-0.961967228561431
"125","SITTING","fBodyAccMag.mean..",-0.952673262657854
"126","SITTING","fBodyAccMag.std..",-0.941966512135303
"127","SITTING","fBodyBodyAccJerkMag.mean..",-0.979261088468118
"128","SITTING","fBodyBodyAccJerkMag.std..",-0.978627076430793
"129","SITTING","fBodyBodyGyroMag.mean..",-0.964102259572317
"130","SITTING","fBodyBodyGyroMag.std..",-0.951296691880249
"131","SITTING","fBodyBodyGyroJerkMag.mean..",-0.985679431041991
"132","SITTING","fBodyBodyGyroJerkMag.std..",-0.984677767993779
"133","STANDING","tBodyAcc.mean...X",0.279293757074236
"134","STANDING","tBodyAcc.mean...Y",-0.0161230846636681
"135","STANDING","tBodyAcc.mean...Z",-0.10732962785709
"136","STANDING","tBodyAcc.std...X",-0.985346233195051
"137","STANDING","tBodyAcc.std...Y",-0.936013307409025
"138","STANDING","tBodyAcc.std...Z",-0.942359763042212
"139","STANDING","tGravityAcc.mean...X",0.940855692081514
"140","STANDING","tGravityAcc.mean...Y",-0.182159165492402
"141","STANDING","tGravityAcc.mean...Z",-0.0273917941389855
"142","STANDING","tGravityAcc.std...X",-0.988270207540029
"143","STANDING","tGravityAcc.std...Y",-0.970754316870451
"144","STANDING","tGravityAcc.std...Z",-0.955334333173217
"145","STANDING","tBodyAccJerk.mean...X",0.07485715063377
"146","STANDING","tBodyAccJerk.mean...Y",0.00877429407298399
"147","STANDING","tBodyAccJerk.mean...Z",-0.00387217635462227
"148","STANDING","tBodyAccJerk.std...X",-0.981622950225619
"149","STANDING","tBodyAccJerk.std...Y",-0.96660630371179
"150","STANDING","tBodyAccJerk.std...Z",-0.980575465705968
"151","STANDING","tBodyGyro.mean...X",-0.0263231980185808
"152","STANDING","tBodyGyro.mean...Y",-0.0660746057299709
"153","STANDING","tBodyGyro.mean...Z",0.0787782501328239
"154","STANDING","tBodyGyro.std...X",-0.950981475866084
"155","STANDING","tBodyGyro.std...Y",-0.96414183628821
"156","STANDING","tBodyGyro.std...Z",-0.960106905407569
"157","STANDING","tBodyGyroJerk.mean...X",-0.0994459157848617
"158","STANDING","tBodyGyroJerk.mean...Y",-0.0424437794962882
"159","STANDING","tBodyGyroJerk.mean...Z",-0.0518025512964192
"160","STANDING","tBodyGyroJerk.std...X",-0.969492009825327
"161","STANDING","tBodyGyroJerk.std...Y",-0.98204418555313
"162","STANDING","tBodyGyroJerk.std...Z",-0.978999994272198
"163","STANDING","tBodyAccMag.mean..",-0.95678885018195
"164","STANDING","tBodyAccMag.std..",-0.949050271871907
"165","STANDING","tGravityAccMag.mean..",-0.95678885018195
"166","STANDING","tGravityAccMag.std..",-0.949050271871907
"167","STANDING","tBodyAccJerkMag.mean..",-0.978738869002911
"168","STANDING","tBodyAccJerkMag.std..",-0.973516388609898
"169","STANDING","tBodyGyroMag.mean..",-0.947207964796215
"170","STANDING","tBodyGyroMag.std..",-0.935924401841339
"171","STANDING","tBodyGyroJerkMag.mean..",-0.980589908020378
"172","STANDING","tBodyGyroJerkMag.std..",-0.976113861921397
"173","STANDING","fBodyAcc.mean...X",-0.982912890618632
"174","STANDING","fBodyAcc.mean...Y",-0.946150893748181
"175","STANDING","fBodyAcc.mean...Z",-0.959054674475983
"176","STANDING","fBodyAcc.std...X",-0.986574413391557
"177","STANDING","fBodyAcc.std...Y",-0.934624538980349
"178","STANDING","fBodyAcc.std...Z",-0.938062292598253
"179","STANDING","fBodyAccJerk.mean...X",-0.981626816149927
"180","STANDING","fBodyAccJerk.mean...Y",-0.966931953151383
"181","STANDING","fBodyAccJerk.mean...Z",-0.977422716790393
"182","STANDING","fBodyAccJerk.std...X",-0.983361688056769
"183","STANDING","fBodyAccJerk.std...Y",-0.968763727401747
"184","STANDING","fBodyAccJerk.std...Z",-0.982416433216885
"185","STANDING","fBodyGyro.mean...X",-0.949080252780204
"186","STANDING","fBodyGyro.mean...Y",-0.968026748042213
"187","STANDING","fBodyGyro.mean...Z",-0.961498605240175
"188","STANDING","fBodyGyro.std...X",-0.952324284970888
"189","STANDING","fBodyGyro.std...Y",-0.962401947845706
"190","STANDING","fBodyGyro.std...Z",-0.96344778356623
"191","STANDING","fBodyAccMag.mean..",-0.958227593384279
"192","STANDING","fBodyAccMag.std..",-0.951799775699709
"193","STANDING","fBodyBodyAccJerkMag.mean..",-0.973202412219796
"194","STANDING","fBodyBodyAccJerkMag.std..",-0.972900383770015
"195","STANDING","fBodyBodyGyroMag.mean..",-0.952814999133916
"196","STANDING","fBodyBodyGyroMag.std..",-0.936800772816594
"197","STANDING","fBodyBodyGyroJerkMag.mean..",-0.97750742639738
"198","STANDING","fBodyBodyGyroJerkMag.std..",-0.975822682598253
"199","WALKING","tBodyAcc.mean...X",0.276260200872757
"200","WALKING","tBodyAcc.mean...Y",-0.0177677108511182
"201","WALKING","tBodyAcc.mean...Z",-0.108884089505465
"202","WALKING","tBodyAcc.std...X",-0.312641276860938
"203","WALKING","tBodyAcc.std...Y",-0.0202716892534421
"204","WALKING","tBodyAcc.std...Z",-0.246279194916452
"205","WALKING","tGravityAcc.mean...X",0.933317070057096
"206","WALKING","tGravityAcc.mean...Y",-0.199518178897227
"207","WALKING","tGravityAcc.mean...Z",-0.0649048773550457
"208","WALKING","tGravityAcc.std...X",-0.977509136933116
"209","WALKING","tGravityAcc.std...Y",-0.966631852120718
"210","WALKING","tGravityAcc.std...Z",-0.952444776696574
"211","WALKING","tBodyAccJerk.mean...X",0.0781529317778793
"212","WALKING","tBodyAccJerk.mean...Y",0.0121226741316897
"213","WALKING","tBodyAccJerk.mean...Z",-0.00375555256860604
"214","WALKING","tBodyAccJerk.std...X",-0.282116881167088
"215","WALKING","tBodyAccJerk.std...Y",-0.104970427937531
"216","WALKING","tBodyAccJerk.std...Z",-0.461915637480408
"217","WALKING","tBodyGyro.mean...X",-0.0312533147691762
"218","WALKING","tBodyGyro.mean...Y",-0.0713125942324959
"219","WALKING","tBodyGyro.mean...Z",0.0841943988581277
"220","WALKING","tBodyGyro.std...X",-0.461290098708157
"221","WALKING","tBodyGyro.std...Y",-0.325584920802455
"222","WALKING","tBodyGyro.std...Z",-0.32080957637553
"223","WALKING","tBodyGyroJerk.mean...X",-0.0968968860162643
"224","WALKING","tBodyGyroJerk.mean...Y",-0.0443103427345922
"225","WALKING","tBodyGyroJerk.mean...Z",-0.0524042952439478
"226","WALKING","tBodyGyroJerk.std...X",-0.361232566109217
"227","WALKING","tBodyGyroJerk.std...Y",-0.502931986096003
"228","WALKING","tBodyGyroJerk.std...Z",-0.440865118262072
"229","WALKING","tBodyAccMag.mean..",-0.16078708767832
"230","WALKING","tBodyAccMag.std..",-0.33054317771252
"231","WALKING","tGravityAccMag.mean..",-0.16078708767832
"232","WALKING","tGravityAccMag.std..",-0.33054317771252
"233","WALKING","tBodyAccJerkMag.mean..",-0.243182988691175
"234","WALKING","tBodyAccJerkMag.std..",-0.22122673901031
"235","WALKING","tBodyGyroMag.mean..",-0.257203964799315
"236","WALKING","tBodyGyroMag.std..",-0.36096832426354
"237","WALKING","tBodyGyroJerkMag.mean..",-0.450009825369331
"238","WALKING","tBodyGyroJerkMag.std..",-0.487888281890326
"239","WALKING","fBodyAcc.mean...X",-0.299246289954772
"240","WALKING","fBodyAcc.mean...Y",-0.0400579863409135
"241","WALKING","fBodyAcc.mean...Z",-0.320268879986729
"242","WALKING","fBodyAcc.std...X",-0.319449560903263
"243","WALKING","fBodyAcc.std...Y",-0.0733724623492251
"244","WALKING","fBodyAcc.std...Z",-0.267572362684095
"245","WALKING","fBodyAccJerk.mean...X",-0.321121167768654
"246","WALKING","fBodyAccJerk.mean...Y",-0.173139305678834
"247","WALKING","fBodyAccJerk.mean...Z",-0.434049963153246
"248","WALKING","fBodyAccJerk.std...X",-0.306296265538255
"249","WALKING","fBodyAccJerk.std...Y",-0.0916769810447162
"250","WALKING","fBodyAccJerk.std...Z",-0.488938910530661
"251","WALKING","fBodyGyro.mean...X",-0.342625352351713
"252","WALKING","fBodyGyro.mean...Y",-0.373186450008817
"253","WALKING","fBodyGyro.mean...Z",-0.299156019251648
"254","WALKING","fBodyGyro.std...X",-0.501130832201272
"255","WALKING","fBodyGyro.std...Y",-0.305965827883026
"256","WALKING","fBodyGyro.std...Z",-0.392421798877651
"257","WALKING","fBodyAccMag.mean..",-0.274583992340065
"258","WALKING","fBodyAccMag.std..",-0.469706683062806
"259","WALKING","fBodyBodyAccJerkMag.mean..",-0.220474636401958
"260","WALKING","fBodyBodyAccJerkMag.std..",-0.229687911080799
"261","WALKING","fBodyBodyGyroMag.mean..",-0.393456402177055
"262","WALKING","fBodyBodyGyroMag.std..",-0.451461098451794
"263","WALKING","fBodyBodyGyroJerkMag.mean..",-0.507109768565555
"264","WALKING","fBodyBodyGyroJerkMag.std..",-0.501290499908646
"265","WALKING_DOWNSTAIRS","tBodyAcc.mean...X",0.288168888475659
"266","WALKING_DOWNSTAIRS","tBodyAcc.mean...Y",-0.0163701864217556
"267","WALKING_DOWNSTAIRS","tBodyAcc.mean...Z",-0.105860325152107
"268","WALKING_DOWNSTAIRS","tBodyAcc.std...X",0.139846824303926
"269","WALKING_DOWNSTAIRS","tBodyAcc.std...Y",0.079183931731927
"270","WALKING_DOWNSTAIRS","tBodyAcc.std...Z",-0.168367906550132
"271","WALKING_DOWNSTAIRS","tGravityAcc.mean...X",0.924336230375254
"272","WALKING_DOWNSTAIRS","tGravityAcc.mean...Y",-0.167095144852028
"273","WALKING_DOWNSTAIRS","tGravityAcc.mean...Z",-0.0521996569589989
"274","WALKING_DOWNSTAIRS","tGravityAcc.std...X",-0.948808651206897
"275","WALKING_DOWNSTAIRS","tGravityAcc.std...Y",-0.934591624918864
"276","WALKING_DOWNSTAIRS","tGravityAcc.std...Z",-0.909636090415821
"277","WALKING_DOWNSTAIRS","tBodyAccJerk.mean...X",0.0882069647409736
"278","WALKING_DOWNSTAIRS","tBodyAccJerk.mean...Y",0.00243695730748479
"279","WALKING_DOWNSTAIRS","tBodyAccJerk.mean...Z",-0.00887530540913793
"280","WALKING_DOWNSTAIRS","tBodyAccJerk.std...X",-0.0081975248379716
"281","WALKING_DOWNSTAIRS","tBodyAccJerk.std...Y",-0.0618724537659239
"282","WALKING_DOWNSTAIRS","tBodyAccJerk.std...Z",-0.373529594680882
"283","WALKING_DOWNSTAIRS","tBodyGyro.mean...X",-0.0766623641270639
"284","WALKING_DOWNSTAIRS","tBodyGyro.mean...Y",-0.0559099218163377
"285","WALKING_DOWNSTAIRS","tBodyGyro.mean...Z",0.0939252913958722
"286","WALKING_DOWNSTAIRS","tBodyGyro.std...X",-0.316944038169878
"287","WALKING_DOWNSTAIRS","tBodyGyro.std...Y",-0.306181913257404
"288","WALKING_DOWNSTAIRS","tBodyGyro.std...Z",-0.26144603615071
"289","WALKING_DOWNSTAIRS","tBodyGyroJerk.mean...X",-0.0742508688621095
"290","WALKING_DOWNSTAIRS","tBodyGyroJerk.mean...Y",-0.0519342665009533
"291","WALKING_DOWNSTAIRS","tBodyGyroJerk.mean...Z",-0.052917414205284
"292","WALKING_DOWNSTAIRS","tBodyGyroJerk.std...X",-0.374000213890974
"293","WALKING_DOWNSTAIRS","tBodyGyroJerk.std...Y",-0.444762616614097
"294","WALKING_DOWNSTAIRS","tBodyGyroJerk.std...Z",-0.318832476117718
"295","WALKING_DOWNSTAIRS","tBodyAccMag.mean..",0.137366108163682
"296","WALKING_DOWNSTAIRS","tBodyAccMag.std..",0.144636835872059
"297","WALKING_DOWNSTAIRS","tGravityAccMag.mean..",0.137366108163682
"298","WALKING_DOWNSTAIRS","tGravityAccMag.std..",0.144636835872059
"299","WALKING_DOWNSTAIRS","tBodyAccJerkMag.mean..",-0.0896983345591278
"300","WALKING_DOWNSTAIRS","tBodyAccJerkMag.std..",0.00319743123002028
"301","WALKING_DOWNSTAIRS","tBodyGyroMag.mean..",-0.104601976301298
"302","WALKING_DOWNSTAIRS","tBodyGyroMag.std..",-0.227265452316329
"303","WALKING_DOWNSTAIRS","tBodyGyroJerkMag.mean..",-0.397171015459939
"304","WALKING_DOWNSTAIRS","tBodyGyroJerkMag.std..",-0.430866415856653
"305","WALKING_DOWNSTAIRS","fBodyAcc.mean...X",0.0713559405859939
"306","WALKING_DOWNSTAIRS","fBodyAcc.mean...Y",0.0737650952372211
"307","WALKING_DOWNSTAIRS","fBodyAcc.mean...Z",-0.192976080589219
"308","WALKING_DOWNSTAIRS","fBodyAcc.std...X",0.161841907222363
"309","WALKING_DOWNSTAIRS","fBodyAcc.std...Y",0.0116440806198682
"310","WALKING_DOWNSTAIRS","fBodyAcc.std...Z",-0.224422769657505
"311","WALKING_DOWNSTAIRS","fBodyAccJerk.mean...X",-0.0476361590971602
"312","WALKING_DOWNSTAIRS","fBodyAccJerk.mean...Y",-0.105878566493306
"313","WALKING_DOWNSTAIRS","fBodyAccJerk.mean...Z",-0.314602839812373
"314","WALKING_DOWNSTAIRS","fBodyAccJerk.std...X",-0.0578981617975233
"315","WALKING_DOWNSTAIRS","fBodyAccJerk.std...Y",-0.0790313050466197
"316","WALKING_DOWNSTAIRS","fBodyAccJerk.std...Z",-0.432035778998519
"317","WALKING_DOWNSTAIRS","fBodyGyro.mean...X",-0.201783634086511
"318","WALKING_DOWNSTAIRS","fBodyGyro.mean...Y",-0.28679197429716
"319","WALKING_DOWNSTAIRS","fBodyGyro.mean...Z",-0.152922530932252
"320","WALKING_DOWNSTAIRS","fBodyGyro.std...X",-0.358229126788915
"321","WALKING_DOWNSTAIRS","fBodyGyro.std...Y",-0.32730982482787
"322","WALKING_DOWNSTAIRS","fBodyGyro.std...Z",-0.370165715908925
"323","WALKING_DOWNSTAIRS","fBodyAccMag.mean..",0.171065464344219
"324","WALKING_DOWNSTAIRS","fBodyAccMag.std..",-0.0519754917174949
"325","WALKING_DOWNSTAIRS","fBodyBodyAccJerkMag.mean..",0.027554426056359
"326","WALKING_DOWNSTAIRS","fBodyBodyAccJerkMag.std..",-0.0387999123583974
"327","WALKING_DOWNSTAIRS","fBodyBodyGyroMag.mean..",-0.266010319105811
"328","WALKING_DOWNSTAIRS","fBodyBodyGyroMag.std..",-0.341661716555527
"329","WALKING_DOWNSTAIRS","fBodyBodyGyroJerkMag.mean..",-0.423414186458479
"330","WALKING_DOWNSTAIRS","fBodyBodyGyroJerkMag.std..",-0.483144255183296
"331","WALKING_UPSTAIRS","tBodyAcc.mean...X",0.261929527252004
"332","WALKING_UPSTAIRS","tBodyAcc.mean...Y",-0.0266470525735974
"333","WALKING_UPSTAIRS","tBodyAcc.mean...Z",-0.120423564420037
"334","WALKING_UPSTAIRS","tBodyAcc.std...X",-0.221072445907903
"335","WALKING_UPSTAIRS","tBodyAcc.std...Y",-0.000348031582171482
"336","WALKING_UPSTAIRS","tBodyAcc.std...Z",-0.140363752818472
"337","WALKING_UPSTAIRS","tGravityAcc.mean...X",0.872378174930103
"338","WALKING_UPSTAIRS","tGravityAcc.mean...Y",-0.28691577583411
"339","WALKING_UPSTAIRS","tGravityAcc.mean...Z",-0.148313217708166
"340","WALKING_UPSTAIRS","tGravityAcc.std...X",-0.946344178769804
"341","WALKING_UPSTAIRS","tGravityAcc.std...Y",-0.925389766076421
"342","WALKING_UPSTAIRS","tGravityAcc.std...Z",-0.899679890894688
"343","WALKING_UPSTAIRS","tBodyAccJerk.mean...X",0.0781685444347158
"344","WALKING_UPSTAIRS","tBodyAccJerk.mean...Y",0.0104508404666636
"345","WALKING_UPSTAIRS","tBodyAccJerk.mean...Z",-0.0055333909217521
"346","WALKING_UPSTAIRS","tBodyAccJerk.std...X",-0.355849488668406
"347","WALKING_UPSTAIRS","tBodyAccJerk.std...Y",-0.328541506919935
"348","WALKING_UPSTAIRS","tBodyAccJerk.std...Z",-0.622193012661696
"349","WALKING_UPSTAIRS","tBodyGyro.mean...X",0.0209240364789655
"350","WALKING_UPSTAIRS","tBodyGyro.mean...Y",-0.0969463358755993
"351","WALKING_UPSTAIRS","tBodyGyro.mean...Z",0.0491202105442125
"352","WALKING_UPSTAIRS","tBodyGyro.std...X",-0.461445663370363
"353","WALKING_UPSTAIRS","tBodyGyro.std...Y",-0.321570850665424
"354","WALKING_UPSTAIRS","tBodyGyro.std...Z",-0.238455522894334
"355","WALKING_UPSTAIRS","tBodyGyroJerk.mean...X",-0.115634379434529
"356","WALKING_UPSTAIRS","tBodyGyroJerk.mean...Y",-0.0393221127075303
"357","WALKING_UPSTAIRS","tBodyGyroJerk.mean...Z",-0.0519831673859832
"358","WALKING_UPSTAIRS","tBodyGyroJerk.std...X",-0.542672583806617
"359","WALKING_UPSTAIRS","tBodyGyroJerk.std...Y",-0.661038928760485
"360","WALKING_UPSTAIRS","tBodyGyroJerk.std...Z",-0.56399488868932
"361","WALKING_UPSTAIRS","tBodyAccMag.mean..",-0.0754501490696831
"362","WALKING_UPSTAIRS","tBodyAccMag.std..",-0.235551736910382
"363","WALKING_UPSTAIRS","tGravityAccMag.mean..",-0.0754501490696831
"364","WALKING_UPSTAIRS","tGravityAccMag.std..",-0.235551736910382
"365","WALKING_UPSTAIRS","tBodyAccJerkMag.mean..",-0.38127785952479
"366","WALKING_UPSTAIRS","tBodyAccJerkMag.std..",-0.38735343572274
"367","WALKING_UPSTAIRS","tBodyGyroMag.mean..",-0.165519411338164
"368","WALKING_UPSTAIRS","tBodyGyroMag.std..",-0.303978179337558
"369","WALKING_UPSTAIRS","tBodyGyroJerkMag.mean..",-0.601125454923672
"370","WALKING_UPSTAIRS","tBodyGyroJerkMag.std..",-0.664181538692451
"371","WALKING_UPSTAIRS","fBodyAcc.mean...X",-0.285477495368322
"372","WALKING_UPSTAIRS","fBodyAcc.mean...Y",-0.12240638059096
"373","WALKING_UPSTAIRS","fBodyAcc.mean...Z",-0.352435071945573
"374","WALKING_UPSTAIRS","fBodyAcc.std...X",-0.198615524473914
"375","WALKING_UPSTAIRS","fBodyAcc.std...Y",-0.00557541172054054
"376","WALKING_UPSTAIRS","fBodyAcc.std...Z",-0.105928929517437
"377","WALKING_UPSTAIRS","fBodyAccJerk.mean...X",-0.384993618073159
"378","WALKING_UPSTAIRS","fBodyAccJerk.mean...Y",-0.35481868269617
"379","WALKING_UPSTAIRS","fBodyAccJerk.mean...Z",-0.586735444993476
"380","WALKING_UPSTAIRS","fBodyAccJerk.std...X",-0.384103045858528
"381","WALKING_UPSTAIRS","fBodyAccJerk.std...Y",-0.346762525466654
"382","WALKING_UPSTAIRS","fBodyAccJerk.std...Z",-0.656696754193849
"383","WALKING_UPSTAIRS","fBodyGyro.mean...X",-0.387804415129357
"384","WALKING_UPSTAIRS","fBodyGyro.mean...Y",-0.445290581715704
"385","WALKING_UPSTAIRS","fBodyGyro.mean...Z",-0.297544907199814
"386","WALKING_UPSTAIRS","fBodyGyro.std...X",-0.489514621167474
"387","WALKING_UPSTAIRS","fBodyGyro.std...Y",-0.266935034348369
"388","WALKING_UPSTAIRS","fBodyGyro.std...Z",-0.293684227338677
"389","WALKING_UPSTAIRS","fBodyAccMag.mean..",-0.248835990713271
"390","WALKING_UPSTAIRS","fBodyAccMag.std..",-0.349171321564772
"391","WALKING_UPSTAIRS","fBodyBodyAccJerkMag.mean..",-0.353468006783504
"392","WALKING_UPSTAIRS","fBodyBodyAccJerkMag.std..",-0.439910272754185
"393","WALKING_UPSTAIRS","fBodyBodyGyroMag.mean..",-0.429560837457409
"394","WALKING_UPSTAIRS","fBodyBodyGyroMag.std..",-0.346609728583225
"395","WALKING_UPSTAIRS","fBodyBodyGyroJerkMag.mean..",-0.655382609368593
"396","WALKING_UPSTAIRS","fBodyBodyGyroJerkMag.std..",-0.701593753741845
